mean/gen/train/policy_gradient_loss,mean/gen/time/time_elapsed,mean/disc/disc_loss,mean/gen/train/approx_kl,mean/disc/disc_acc_expert,mean/disc/disc_proportion_expert_pred,mean/gen/train/explained_variance,mean/gen/train/n_updates,mean/gen/rollout/ep_len_mean,mean/gen/train/learning_rate,mean/disc/disc_entropy,mean/gen/time/iterations,mean/disc/global_step,mean/gen/train/entropy_loss,mean/gen/train/clip_range,mean/gen/train/loss,mean/gen/train/value_loss,mean/disc/n_expert,mean/disc/disc_acc_gen,mean/gen/time/total_timesteps,mean/disc/disc_proportion_expert_true,mean/gen/rollout/ep_rew_mean,mean/disc/n_generated,mean/gen/train/clip_fraction,mean/disc/disc_acc,mean/gen/time/fps,mean/gen/rollout/ep_rew_wrapped_mean
-0.005377489920647349,0.0,0.6357645988464355,0.004279403947293758,0.2578125,0.1796875,0.5294731259346008,13928.0,45.0,0.0001,0.629744291305542,1.0,1741.0,-0.04462244562091655,0.2,0.6068477630615234,3.0331941107288003,256.0,0.8984375,891392.0,0.5,1270.0,256.0,0.0302734375,0.578125,1662.0,-13.960916906818747
-0.005006626779504586,0.0,0.6410006880760193,0.013765623793005943,0.22265625,0.150390625,0.7761877179145813,13936.0,45.0,0.0001,0.6344783902168274,1.0,1742.0,-0.036292196562953905,0.2,0.3251141309738159,1.9830169319175184,256.0,0.921875,891904.0,0.5,1267.5,256.0,0.017822265625,0.572265625,1876.0,-15.542083202898503
-0.005467043887620093,0.0,0.649704098701477,0.008790469728410244,0.265625,0.185546875,0.5310955047607422,13944.0,45.0,0.0001,0.6349992752075195,1.0,1743.0,-0.03633447586980765,0.2,0.6235339641571045,5.974172498565167,256.0,0.89453125,892416.0,0.5,1216.5,256.0,0.026611328125,0.580078125,1748.0,-16.620521003603937
-0.005681248956534546,0.0,0.6469271779060364,0.0030307122506201267,0.3359375,0.25390625,0.530343621969223,13952.0,45.0,0.0001,0.6329602599143982,1.0,1744.0,-0.033593971078516915,0.2,1.3055695295333862,3.1107713484670967,256.0,0.828125,892928.0,0.5,1225.0,256.0,0.018310546875,0.58203125,1628.0,-18.080004578232764
-0.00428089416527655,0.0,0.6368954181671143,0.00369831919670105,0.46484375,0.388671875,0.16590988636016846,13960.0,45.0,0.0001,0.6334051489830017,1.0,1745.0,-0.041694582942000125,0.2,1.0216175317764282,5.791565062478185,256.0,0.6875,893440.0,0.5,1207.5,256.0,0.01953125,0.576171875,1579.0,-18.483526259064675
-0.006486126912932377,0.0,0.6552733182907104,0.0036353012546896935,0.47265625,0.388671875,-0.25306928157806396,13968.0,45.0,0.0001,0.6368042230606079,1.0,1746.0,-0.02276975754830346,0.2,0.17862874269485474,2.5426375940442085,256.0,0.6953125,893952.0,0.5,1242.5,256.0,0.015869140625,0.583984375,1714.0,-18.675120908468962
-0.007853349517972674,0.0,0.6366482973098755,0.004326690454035997,0.47265625,0.40234375,0.40433067083358765,13976.0,45.0,0.0001,0.6292816400527954,1.0,1747.0,-0.03451089400823548,0.2,0.6096363663673401,6.591451754793525,256.0,0.66796875,894464.0,0.5,1219.0,256.0,0.030029296875,0.5703125,1771.0,-18.298984048962595
-0.004359301121439785,0.0,0.6266942024230957,0.006484788376837969,0.5625,0.423828125,-0.13511717319488525,13984.0,45.0,0.0001,0.63124018907547,1.0,1748.0,-0.025728113238301376,0.2,0.1228349357843399,2.286150661413558,256.0,0.71484375,894976.0,0.5,1180.5,256.0,0.016845703125,0.638671875,1822.0,-18.060706827640534
-0.005612976441625506,0.0,0.6370695233345032,0.004037653096020222,0.61328125,0.5078125,-0.002957582473754883,13992.0,45.0,0.0001,0.6320367455482483,1.0,1749.0,-0.029909913235542263,0.2,0.4117240905761719,2.4741552430205047,256.0,0.59765625,895488.0,0.5,1238.0,256.0,0.012451171875,0.60546875,1538.0,-17.89290140300989
-0.00026153173530474305,0.0,0.6540858745574951,0.028716471046209335,0.5859375,0.470703125,0.377932071685791,14000.0,45.0,0.0001,0.6305875182151794,1.0,1750.0,-0.03215163959839629,0.2,0.17391815781593323,3.5472290904726833,256.0,0.64453125,896000.0,0.5,1197.5,256.0,0.0283203125,0.615234375,1731.0,-16.864873680323363
