mean/gen/time/iterations,mean/disc/n_expert,mean/gen/train/n_updates,mean/gen/rollout/ep_rew_mean,mean/disc/global_step,mean/disc/disc_acc_gen,mean/gen/train/policy_gradient_loss,mean/disc/disc_proportion_expert_pred,mean/gen/train/value_loss,mean/gen/time/time_elapsed,mean/disc/disc_proportion_expert_true,mean/gen/train/clip_fraction,mean/gen/train/clip_range,mean/gen/time/total_timesteps,mean/gen/train/learning_rate,mean/disc/disc_loss,mean/gen/train/approx_kl,mean/gen/train/loss,mean/gen/rollout/ep_len_mean,mean/gen/train/entropy_loss,mean/gen/train/explained_variance,mean/disc/disc_entropy,mean/disc/disc_acc_expert,mean/disc/disc_acc,mean/disc/n_generated,mean/gen/time/fps,mean/gen/rollout/ep_rew_wrapped_mean
1.0,256.0,14264.0,1284.5,1783.0,0.796875,-0.005803096930321772,0.34765625,2.4539063710253686,0.0,0.5,0.019775390625,0.2,912896.0,0.0001,0.6163696646690369,0.0069885398261249065,0.4061512351036072,45.0,-0.03046592202372267,0.6068843305110931,0.63215172290802,0.4921875,0.64453125,256.0,1930.0,-16.067479602880777
1.0,256.0,14272.0,1302.0,1784.0,0.796875,-0.005815012840685085,0.3251953125,1.4674107730388641,0.0,0.5,0.013671875,0.2,913408.0,0.0001,0.6301909983158112,0.003637982765212655,0.23238062858581543,45.0,-0.028788886207621545,0.3607408404350281,0.6359359622001648,0.447265625,0.6220703125,256.0,2012.0,-16.230598792396485
1.0,256.0,14280.0,1357.5,1785.0,0.685546875,-0.007905420730821788,0.4150390625,2.716460577212274,0.0,0.5,0.032958984375,0.2,913920.0,0.0001,0.6416772305965424,0.008620614185929298,0.29644542932510376,45.0,-0.0530993964348454,0.4031867980957031,0.6277620494365692,0.515625,0.6005859375,256.0,1711.0,-16.633965986520053
1.0,256.0,14288.0,1378.0,1786.0,0.673828125,-0.005535393698664848,0.4462890625,2.1076853044796735,0.0,0.5,0.02685546875,0.2,914432.0,0.0001,0.6154705286026001,0.005159209948033094,0.15251022577285767,45.0,-0.05155431525781751,0.0506587028503418,0.6259197890758514,0.56640625,0.6201171875,256.0,1344.0,-17.06736066672951
1.0,256.0,14296.0,1311.5,1787.0,0.7265625,-0.0071220129320863634,0.392578125,4.8002358542289585,0.0,0.5,0.02587890625,0.2,914944.0,0.0001,0.6270567178726196,0.014150010421872139,0.5395520925521851,45.0,-0.050740030375891365,0.3680376410484314,0.628463089466095,0.51171875,0.619140625,256.0,1804.0,-16.924538557752967
1.0,256.0,14304.0,1323.0,1788.0,0.701171875,-0.00670346942206379,0.4208984375,4.343522576615214,0.0,0.5,0.02587890625,0.2,915456.0,0.0001,0.6209834516048431,0.009766330011188984,0.4436917304992676,45.0,-0.05282401899603428,0.22760170698165894,0.6221700608730316,0.54296875,0.6220703125,256.0,1706.0,-17.24650600478053
1.0,256.0,14312.0,1333.5,1789.0,0.72265625,-0.00519798748428002,0.40625,2.1266386844217777,0.0,0.5,0.016845703125,0.2,915968.0,0.0001,0.6283415853977203,0.007355038076639175,0.17127975821495056,45.0,-0.02887570418533869,0.48095279932022095,0.6358402669429779,0.53515625,0.62890625,256.0,1835.0,-17.367317424044014
1.0,256.0,14320.0,1363.5,1790.0,0.705078125,-0.007704195690166671,0.390625,2.7920494601130486,0.0,0.5,0.02685546875,0.2,916480.0,0.0001,0.6308387219905853,0.004973403178155422,0.7839547991752625,45.0,-0.058523511281237006,0.5992603003978729,0.6255182325839996,0.486328125,0.595703125,256.0,1671.0,-17.258237825669347
1.0,256.0,14328.0,1366.0,1791.0,0.728515625,-0.005233270756434649,0.375,3.3380202194675803,0.0,0.5,0.02001953125,0.2,916992.0,0.0001,0.630387008190155,0.004644172266125679,0.49365437030792236,45.0,-0.03178221696725814,0.6542139947414398,0.6259360611438751,0.478515625,0.603515625,256.0,1812.0,-17.06059775147587
1.0,256.0,14336.0,1366.0,1792.0,0.80078125,-0.003737753795576282,0.328125,1.5374550893902779,0.0,0.5,0.0146484375,0.2,917504.0,0.0001,0.634992778301239,0.0033892474602907896,0.5924960970878601,45.0,-0.02221440740140679,0.616197258234024,0.6436195075511932,0.45703125,0.62890625,256.0,2080.0,-16.915597000457346
1.0,256.0,14344.0,1341.5,1793.0,0.7421875,-0.006658573900494957,0.388671875,2.123734137509018,0.0,0.5,0.020751953125,0.2,918016.0,0.0001,0.6446119546890259,0.00762940151616931,0.3481334447860718,45.0,-0.02996191239799373,0.498928427696228,0.6313909888267517,0.51953125,0.630859375,256.0,1922.0,-16.665570297650994
1.0,256.0,14352.0,1332.5,1794.0,0.736328125,-0.007623295296070864,0.421875,1.7426854469813406,0.0,0.5,0.02099609375,0.2,918528.0,0.0001,0.6424028873443604,0.016084622591733932,0.1665673851966858,45.0,-0.03705679023369157,0.46040308475494385,0.6329441070556641,0.580078125,0.658203125,256.0,1424.0,-16.541746149063112
1.0,256.0,14360.0,1378.0,1795.0,0.671875,-0.007941956369904801,0.4521484375,1.3942713390570134,0.0,0.5,0.02783203125,0.2,919040.0,0.0001,0.6230761706829071,0.011487364768981934,0.22761274874210358,45.0,-0.04856244066468207,0.5005534887313843,0.6219759583473206,0.576171875,0.6240234375,256.0,1532.0,-16.339922740906477
1.0,256.0,14368.0,1410.0,1796.0,0.6875,-0.004193166667391779,0.431640625,2.2451223293319345,0.0,0.5,0.020263671875,0.2,919552.0,0.0001,0.6301714479923248,0.007485034875571728,1.5920544862747192,45.0,-0.04801050755850156,0.5109292566776276,0.6303096115589142,0.55078125,0.619140625,256.0,1637.0,-16.35702121540904
1.0,256.0,14376.0,1426.0,1797.0,0.728515625,-0.008982293045846745,0.412109375,1.4390980214811862,0.0,0.5,0.027587890625,0.2,920064.0,0.0001,0.6395911574363708,0.010343467816710472,0.2544082999229431,45.0,-0.03633219299263146,0.2342967391014099,0.6318525671958923,0.552734375,0.640625,256.0,1647.0,-15.77586808525026
1.0,256.0,14384.0,1453.0,1798.0,0.720703125,-0.004505355289438739,0.380859375,1.3058732707286254,0.0,0.5,0.013916015625,0.2,920576.0,0.0001,0.6302502751350403,0.00654367171227932,0.22868914902210236,45.0,-0.02684370587758167,0.6137315630912781,0.6288570761680603,0.482421875,0.6015625,256.0,1830.0,-15.610008362196385
1.0,256.0,14392.0,1430.5,1799.0,0.76953125,-0.0054186023626243696,0.349609375,2.7110420728567988,0.0,0.5,0.021240234375,0.2,921088.0,0.0001,0.6288718581199646,0.0064435978420078754,0.32058125734329224,45.0,-0.04245269267994445,0.49818676710128784,0.6146328151226044,0.46875,0.619140625,256.0,1761.0,-15.550161102823914
1.0,256.0,14400.0,1455.0,1800.0,0.748046875,-0.008622736480901949,0.3681640625,7.076554724946618,0.0,0.5,0.025146484375,0.2,921600.0,0.0001,0.6194041073322296,0.0036869090981781483,2.106511116027832,45.0,-0.03753619803865149,0.6080228090286255,0.622339129447937,0.484375,0.6162109375,256.0,1786.0,-15.986755213402212
1.0,256.0,14408.0,1476.0,1801.0,0.841796875,-0.007718472432316048,0.3193359375,2.757730448851362,0.0,0.5,0.01904296875,0.2,922112.0,0.0001,0.6019060611724854,0.014999334700405598,0.5396963953971863,45.0,-0.030738988594748662,0.6618588268756866,0.6298561990261078,0.48046875,0.6611328125,256.0,1871.0,-16.45387381669134
1.0,256.0,14416.0,1464.0,1802.0,0.7421875,-0.006083787564421073,0.3603515625,3.138052594382316,0.0,0.5,0.024658203125,0.2,922624.0,0.0001,0.6577333807945251,0.007585632149130106,0.34014376997947693,45.0,-0.03970297196065076,0.3478085994720459,0.638602614402771,0.462890625,0.6025390625,256.0,1883.0,-16.912772199101745
1.0,256.0,14424.0,1464.0,1803.0,0.73828125,-0.005031766741012689,0.392578125,1.7230964156333357,0.0,0.5,0.015869140625,0.2,923136.0,0.0001,0.6394683122634888,0.005795150995254517,0.20150922238826752,45.0,-0.03378651725870441,0.6564164161682129,0.6291077136993408,0.5234375,0.630859375,256.0,1876.0,-16.935823285281657
1.0,256.0,14432.0,1427.0,1804.0,0.68359375,-0.005862165096914396,0.43359375,1.9822427823673934,0.0,0.5,0.021484375,0.2,923648.0,0.0001,0.6254322230815887,0.016349932178854942,0.281803160905838,45.0,-0.041703441219397064,0.6904642879962921,0.6356563568115234,0.55078125,0.6171875,256.0,1751.0,-17.072130417041482
1.0,256.0,14440.0,1384.5,1805.0,0.669921875,-0.003979995584813878,0.43359375,2.943919674726203,0.0,0.5,0.01513671875,0.2,924160.0,0.0001,0.6248941123485565,0.003916058223694563,0.7496360540390015,45.0,-0.03234935487307666,0.44214391708374023,0.6255300343036652,0.537109375,0.603515625,256.0,1710.0,-17.136035055965184
1.0,256.0,14448.0,1392.5,1806.0,0.671875,-0.004657531186239794,0.4462890625,1.758806698024273,0.0,0.5,0.015380859375,0.2,924672.0,0.0001,0.6332034766674042,0.0019821934401988983,0.21396629512310028,45.0,-0.0292376139004773,0.5527072548866272,0.623867005109787,0.564453125,0.6181640625,256.0,1740.0,-17.76937368351966
1.0,256.0,14456.0,1367.5,1807.0,0.6953125,-0.004605389915013802,0.40234375,1.577215124387294,0.0,0.5,0.02734375,0.2,925184.0,0.0001,0.6471825242042542,0.009738624095916748,0.3190557360649109,45.0,-0.03248076980889891,0.6237031817436218,0.6344033181667328,0.5,0.59765625,256.0,1851.0,-17.58393359489739
1.0,256.0,14464.0,1345.5,1808.0,0.748046875,-0.007034240785287693,0.373046875,3.5500807617790997,0.0,0.5,0.0234375,0.2,925696.0,0.0001,0.6233782172203064,0.004548986908048391,0.5897300243377686,45.0,-0.04287324724646169,0.4574623703956604,0.611325740814209,0.494140625,0.62109375,256.0,1780.0,-17.28639492675662
1.0,256.0,14472.0,1259.5,1809.0,0.7890625,-0.001521048354334198,0.357421875,1.7553093321621418,0.0,0.5,0.012939453125,0.2,926208.0,0.0001,0.6221610307693481,0.013088038191199303,0.19414985179901123,45.0,-0.016372906301512558,0.7920503914356232,0.6255626380443573,0.50390625,0.646484375,256.0,2032.0,-17.00005753464997
1.0,256.0,14480.0,1220.0,1810.0,0.875,-0.005583949503488839,0.3466796875,0.8629577674728353,0.0,0.5,0.010498046875,0.2,926720.0,0.0001,0.5893575847148895,0.008931493386626244,0.11836399883031845,45.0,-0.021188241687923437,0.7335628867149353,0.6387244164943695,0.568359375,0.7216796875,256.0,2094.0,-16.369197647720576
1.0,256.0,14488.0,1145.5,1811.0,0.7734375,-0.005557111115194857,0.40234375,1.34580607234966,0.0,0.5,0.021728515625,0.2,927232.0,0.0001,0.618026852607727,0.01781606674194336,0.22475355863571167,45.0,-0.020406085470312973,0.6104551553726196,0.6352775692939758,0.578125,0.67578125,256.0,2084.0,-16.078193870186805
