raw/gen/time/total_timesteps,raw/gen/rollout/ep_len_mean,raw/gen/time/fps,raw/gen/rollout/ep_rew_mean,raw/gen/time/iterations,raw/gen/time/time_elapsed,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/learning_rate,raw/gen/train/explained_variance,raw/gen/train/approx_kl,raw/gen/train/clip_range,raw/gen/train/clip_fraction,raw/gen/train/loss,raw/gen/train/entropy_loss,raw/gen/train/n_updates,raw/gen/train/value_loss,raw/gen/train/policy_gradient_loss
39424,45.0,2053,-126.0,1,0,-41.19469798889011,0.0001,0.30164027214050293,0.006105951,0.2,0.037353515625,2.312462568283081,-0.9925399888306856,608,11.663741573691368,-0.011729166573786642
39936,45.0,1580,-119.5,1,0,-43.905510461330415,0.0001,0.032523155212402344,0.004912071,0.2,0.02099609375,4.418030261993408,-0.9134125290438533,616,20.074176274240017,-0.007685897428018507
40448,45.0,1890,-142.0,1,0,-46.93946046359837,0.0001,0.10050690174102783,0.0029113246,0.2,0.006103515625,5.602974891662598,-0.9371429812163115,624,32.362314119935036,-0.00394391960799112
40960,45.0,1562,-111.0,1,0,-49.937367147132754,0.0001,0.02446073293685913,0.0039367545,0.2,0.01904296875,5.590098857879639,-0.987961454782635,632,18.875906758010387,-0.009379820665344596
41472,45.0,1727,-106.5,1,0,-53.13790490247309,0.0001,0.036870360374450684,0.0063864817,0.2,0.0302734375,8.0156888961792,-1.0406412961892784,640,27.457090325653553,-0.010850398924958427
41984,45.0,1874,-100.5,1,0,-56.07243127040565,0.0001,0.0012751221656799316,0.0048019923,0.2,0.010498046875,8.511845588684082,-0.9547905903309584,648,29.499778121709824,-0.010155748161196243
42496,45.0,1889,-87.0,1,0,-58.54321369715035,0.0001,0.00714874267578125,0.0044384673,0.2,0.016357421875,5.5313191413879395,-0.9308589585125446,656,24.25182081013918,-0.008462859361316077
43008,45.0,1324,-33.0,1,0,-61.264911549910906,0.0001,-0.0009900331497192383,0.003978084,0.2,0.009033203125,6.5268778800964355,-0.9615283873863518,664,32.880434557795525,-0.006468390845839167
43520,45.0,1761,-40.0,1,0,-63.8561595992744,0.0001,0.004624128341674805,0.0031291875,0.2,0.00927734375,9.312314987182617,-1.0161016592755914,672,32.64719761162996,-0.008975820004707202
44032,45.0,1828,19.0,1,0,-66.46239562883973,0.0001,0.0031052827835083008,0.010069345,0.2,0.07958984375,11.769916534423828,-0.9671179414726794,680,32.666567504405975,-0.016191266950045247
44544,45.0,2055,51.0,1,0,-67.98751845106483,0.0001,0.0007559657096862793,0.004765005,0.2,0.0263671875,6.303343772888184,-0.9556858944706619,688,23.47575357928872,-0.01011289866437437
45056,45.0,2141,56.0,1,0,-69.24571972206235,0.0001,0.0003458857536315918,0.0062280707,0.2,0.025146484375,6.785600185394287,-0.8995090192183852,696,24.640835624188185,-0.008950085531978402
45568,45.0,1676,91.0,1,0,-69.99464152876288,0.0001,0.0005266070365905762,0.022625394,0.2,0.0869140625,4.861166000366211,-0.9164638319052756,704,11.30062086135149,-0.010777566392789595
46080,45.0,1900,170.5,1,0,-70.64956143107266,0.0001,0.0003764033317565918,0.008033562,0.2,0.1171875,11.647957801818848,-0.7861035312525928,712,23.750176548957825,-0.0055230023644980974
46592,45.0,2664,138.5,1,0,-70.47751250623725,0.0001,0.0001519918441772461,0.025580136,0.2,0.2236328125,9.200965881347656,-0.7553560608066618,720,13.962132781744003,-0.010278351946908515
47104,45.0,1982,220.0,1,0,-69.93266455709004,0.0001,0.0009878873825073242,0.015195968,0.2,0.16552734375,0.7460522651672363,-1.009562989231199,728,3.983070413582027,-0.02442111849086359
47616,45.0,1835,239.5,1,0,-68.94453567977064,0.0001,0.000689089298248291,0.023705246,0.2,0.344482421875,4.481018543243408,-0.7665863735601306,736,12.651195779442787,-0.02162854015477933
48128,45.0,1983,311.0,1,0,-67.63517934776843,0.0001,0.002208232879638672,0.011727096,0.2,0.239501953125,3.29203462600708,-0.7014522459357977,744,20.546920709311962,-0.02024983306910144
48640,45.0,2351,301.0,1,0,-65.51266444615088,0.0001,0.32504183053970337,0.016269747,0.2,0.220458984375,2.311588764190674,-0.6824434681329876,752,6.616604993119836,-0.023627123671758454
49152,45.0,2191,283.0,1,0,-63.5131999134738,0.0001,0.4823201894760132,0.010022663,0.2,0.13720703125,2.931124210357666,-0.6595731391571462,760,4.5417853109538555,-0.019932568036892917
49664,45.0,2262,320.0,1,0,-61.78340655864216,0.0001,0.33213675022125244,0.03971962,0.2,0.270263671875,3.4447720050811768,-0.5059403802733868,768,7.050542147830129,-0.02103285431076074
50176,45.0,2152,327.0,1,0,-59.75720235966146,0.0001,0.4417136311531067,0.010181144,0.2,0.090576171875,1.9785351753234863,-0.40712651098147035,776,5.264593224041164,-0.010370722786319675
50688,45.0,2097,350.0,1,0,-57.16747829401866,0.0001,0.47410112619400024,0.0024248995,0.2,0.02490234375,2.966343402862549,-0.3869499466381967,784,6.626515232026577,-0.008090270843240432
51200,45.0,2379,378.5,1,0,-55.172399616008626,0.0001,0.6047510504722595,0.0043731104,0.2,0.034423828125,3.6547656059265137,-0.3250288462731987,792,9.200111677870154,-0.012124904285883531
51712,45.0,2123,365.0,1,0,-53.25273130780086,0.0001,0.6832366585731506,0.011940392,0.2,0.047119140625,1.1294246912002563,-0.2262939135544002,800,5.662746695335954,-0.007539254398579942
52224,45.0,2087,361.0,1,0,-51.44890309434384,0.0001,0.6830075681209564,0.003316428,0.2,0.044189453125,2.780827760696411,-0.1987944066640921,808,6.871815904043615,-0.011135878012282774
52736,45.0,1628,408.0,1,0,-49.74669480863959,0.0001,0.6028267741203308,0.0028904583,0.2,0.03564453125,5.544521808624268,-0.19493915094062686,816,14.325861681252718,-0.012039939654641785
53248,45.0,1731,495.0,1,0,-47.83355180797167,0.0001,0.7416569888591766,0.0024859994,0.2,0.020263671875,3.796713352203369,-0.19784245238406584,824,8.877574477344751,-0.007938929593365174
53760,45.0,2242,546.0,1,0,-46.49345552568324,0.0001,0.7478057146072388,0.0019944943,0.2,0.0205078125,9.20697021484375,-0.17780689673963934,832,14.16410268470645,-0.005880473414435983
54272,45.0,2254,587.0,1,0,-45.364627206726,0.0001,0.7384951412677765,0.0018597605,0.2,0.013427734375,7.408484935760498,-0.15356271615019068,840,14.775387194007635,-0.006706345011480153
54784,45.0,2114,570.0,1,0,-44.90649279925041,0.0001,0.6494389176368713,0.0017112254,0.2,0.013916015625,12.150842666625977,-0.16105374175822362,848,16.42272143624723,-0.006601772256544791
55296,45.0,1902,590.5,1,0,-44.773123341435564,0.0001,0.7353824377059937,0.0019235914,0.2,0.01611328125,7.135093688964844,-0.17588675051229075,856,15.000928655266762,-0.006811883475165814
55808,45.0,2149,666.5,1,0,-44.410080678174275,0.0001,0.6465668678283691,0.0015400182,0.2,0.018310546875,6.773669719696045,-0.16330746037419885,864,21.56342812627554,-0.008349958028702531
56320,45.0,2093,592.0,1,0,-44.36334485047497,0.0001,0.756927877664566,0.002148029,0.2,0.02001953125,7.788909435272217,-0.13823549437802285,872,20.887660816311836,-0.007949031802127138
56832,45.0,1980,568.0,1,0,-44.6847837154381,0.0001,0.6423006653785706,0.0010358142,0.2,0.01318359375,12.782317161560059,-0.15518103929935023,880,23.883629016578197,-0.006396328935807105
57344,45.0,1938,531.5,1,0,-45.00781680227257,0.0001,0.6180360019207001,0.0037752138,0.2,0.01953125,3.9669525623321533,-0.20048018143279478,888,25.34530045092106,-0.010155630276130978
57856,45.0,1532,587.0,1,0,-46.01161010749638,0.0001,0.739223837852478,0.0010725878,0.2,0.00927734375,7.071223735809326,-0.21175643790047616,896,23.150708317756653,-0.005998243283102056
58368,45.0,1854,675.0,1,0,-46.11452690589242,0.0001,0.726863294839859,0.0026391237,0.2,0.015380859375,15.876192092895508,-0.17771718197036535,904,25.331847451627254,-0.007907687780971173
58880,45.0,1717,741.5,1,0,-46.046752036698166,0.0001,0.7011817097663879,0.0038729692,0.2,0.027587890625,9.107732772827148,-0.23004135582596064,912,28.7088024020195,-0.011582254839595407
59392,45.0,1943,711.0,1,0,-46.13519090450369,0.0001,0.6081348955631256,0.0014354098,0.2,0.020263671875,7.743722915649414,-0.24609734385740012,920,35.51683983206749,-0.006728570464474615
59904,45.0,1884,720.0,1,0,-47.284139563404025,0.0001,0.7304967939853668,0.0047497265,0.2,0.03564453125,18.73276138305664,-0.22916229342808947,928,26.220257200300694,-0.010326688981876941
60416,45.0,1973,777.0,1,0,-48.661597617333754,0.0001,0.7025378942489624,0.0022356685,0.2,0.0107421875,13.013912200927734,-0.19636171677848324,936,31.296240724623203,-0.0068016202640137635
60928,45.0,1464,812.0,1,0,-49.84532718592323,0.0001,0.6530562937259674,0.0029075078,0.2,0.03271484375,12.38948917388916,-0.21449180168565363,944,30.956530302762985,-0.011225369438761845
61440,45.0,1317,913.0,1,0,-51.51411999398842,0.0001,0.6292411684989929,0.0030504859,0.2,0.02587890625,10.202012062072754,-0.2288923137821257,952,30.290165975689888,-0.009971783540095203
61952,45.0,1957,928.5,1,0,-51.89039963826537,0.0001,0.5122607946395874,0.0032645017,0.2,0.037109375,9.751880645751953,-0.3473682679468766,960,30.545647650957108,-0.007431402176734991
62464,45.0,1782,853.5,1,0,-53.43985822157934,0.0001,0.7518683522939682,0.0024059883,0.2,0.024658203125,9.694625854492188,-0.21209295489825308,968,23.40340854227543,-0.009269915950426366
62976,45.0,1638,827.0,1,0,-56.69361150301993,0.0001,0.5870101451873779,0.0026092497,0.2,0.019775390625,15.862184524536133,-0.25820658286102116,976,39.77627360075712,-0.010547308524110122
63488,45.0,1690,820.5,1,0,-58.29280444322154,0.0001,0.5579304993152618,0.0034526808,0.2,0.034912109375,11.84190559387207,-0.3279775845585391,984,29.68751683831215,-0.010149798217753414
64000,45.0,1676,861.5,1,0,-59.43400541132316,0.0001,0.5457868576049805,0.0049507986,0.2,0.0517578125,17.04262351989746,-0.38059667660854757,992,39.01647900044918,-0.012782052406691946
64512,45.0,1717,856.0,1,0,-59.263640580140056,0.0001,0.6177145540714264,0.00560816,0.2,0.06982421875,21.151140213012695,-0.3256687466055155,1000,47.96773985028267,-0.014008682970597874
65024,45.0,1876,827.5,1,0,-60.12479782745242,0.0001,0.694037675857544,0.0022267094,0.2,0.038818359375,13.175883293151855,-0.35113942611496896,1008,48.07555274665356,-0.010190168475674
65536,45.0,1918,807.0,1,0,-60.93738316686824,0.0001,0.683750569820404,0.0037608522,0.2,0.033447265625,26.86036491394043,-0.30194236210081726,1016,55.09592001140118,-0.012752480815834133
66048,45.0,1710,803.0,1,0,-62.579679352063685,0.0001,0.5970392525196075,0.002644672,0.2,0.016845703125,20.983190536499023,-0.2703399603487924,1024,46.182966232299805,-0.009456357860472053
66560,45.0,1939,790.0,1,0,-64.00051622383296,0.0001,0.6169781684875488,0.0033671623,0.2,0.02880859375,24.212583541870117,-0.35052257555071265,1032,43.77894996851683,-0.009078551047423389
67072,45.0,1718,817.5,1,0,-64.3228403784521,0.0001,0.62340047955513,0.0041072657,0.2,0.04052734375,7.308547496795654,-0.3079046655911952,1040,36.77036654949188,-0.01245744813058991
67584,45.0,1721,820.0,1,0,-64.22738291723654,0.0001,0.6429819464683533,0.0039078193,0.2,0.033935546875,21.519847869873047,-0.3208472036058083,1048,39.42199219763279,-0.01119845909124706
