raw/gen/time/iterations,raw/gen/time/fps,raw/gen/time/total_timesteps,raw/gen/time/time_elapsed,raw/gen/train/explained_variance,raw/gen/train/policy_gradient_loss,raw/gen/train/clip_range,raw/gen/train/clip_fraction,raw/gen/train/entropy_loss,raw/gen/train/approx_kl,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/loss,raw/gen/train/n_updates,raw/gen/train/learning_rate,raw/gen/train/value_loss
1,2748,73728,0,1.728534698486328e-05,-8.219827432185412e-05,0.1,0.0,-1.60639790892601,9.987038e-06,-68.03898142695427,38.93648147583008,175,0.0001,154.57142944335936
2,827,75776,4,1.0371208190917969e-05,-0.0001448007533326745,0.1,0.0,-1.6063531994819642,2.011811e-05,-73.6203524839878,63.94656753540039,180,0.00011,256.71205825805663
3,670,77824,9,1.1801719665527344e-05,1.2850342318415642e-05,0.1,0.0,-1.6061639606952667,1.2023374e-06,-80.37185304701329,67.47350311279297,185,0.0001075,274.61826171875
4,614,79872,13,9.119510650634766e-06,-6.354204379022121e-06,0.1,0.0,-1.6061253249645233,1.9437284e-06,-86.78143348932267,68.48377227783203,190,0.000105,276.15800018310546
5,578,81920,17,1.0073184967041016e-05,-1.7957622185349463e-05,0.1,0.0,-1.6061749100685119,1.1147058e-06,-88.95321365714074,70.47876739501953,195,0.00010250000000000001,273.3125289916992
1,3024,83968,0,1.055002212524414e-05,-1.9878242164850234e-05,0.1,0.0,-1.6061737596988679,8.49599e-07,-89.57261697649956,73.21839141845703,200,0.0001,291.48609161376953
2,851,86016,4,6.198883056640625e-06,-2.2266991436481476e-05,0.1,0.0,-1.6061558604240418,5.9520244e-07,-94.48948522090912,91.95220947265625,205,0.00010888888888888889,379.6691040039062
3,687,88064,8,6.139278411865234e-06,-2.822305541485548e-05,0.1,0.0,-1.6060493528842925,1.525128e-06,-99.94710538268089,98.25538635253906,210,0.00010666666666666667,385.998486328125
4,625,90112,13,6.139278411865234e-06,-7.101460359990597e-05,0.1,0.0,-1.6059872925281524,5.586364e-06,-105.02551517009735,101.30715942382812,215,0.00010444444444444444,414.997575378418
5,592,92160,17,7.510185241699219e-06,-1.4196615666151047e-05,0.1,0.0,-1.605947071313858,1.1237862e-06,-107.20913940787315,101.53324890136719,220,0.00010222222222222223,425.4357620239258
1,2855,94208,0,5.602836608886719e-06,-1.95076921954751e-05,0.1,0.0,-1.6059135735034942,1.000124e-06,-107.98611188292503,100.08477020263672,225,0.0001,422.1755630493164
2,816,96256,5,5.304813385009766e-06,-0.0002646871842443943,0.1,0.0,-1.6058978855609893,3.9188628e-05,-110.0752650487423,117.56300354003906,230,0.000108,468.4927612304688
3,669,98304,9,4.172325134277344e-06,1.7962569836527108e-05,0.1,0.0,-1.6059091150760652,7.1066024e-06,-111.64875785827637,110.80316162109375,235,0.00010600000000000002,454.9660934448242
4,616,100352,13,3.635883331298828e-06,-8.480018004775047e-05,0.1,0.0,-1.60593324303627,1.4440302e-05,-113.25037707448006,114.90472412109375,240,0.00010400000000000001,452.40655212402345
5,584,102400,17,3.159046173095703e-06,-8.322129724547267e-05,0.1,0.0,-1.6059346616268158,2.244307e-05,-112.42329949140549,107.70911407470703,245,0.00010200000000000001,435.75579223632815
1,2787,104448,0,4.470348358154297e-06,-7.514110766351222e-05,0.1,0.0,-1.605863493680954,9.537704e-06,-113.83116555452347,120.39619445800781,250,0.0001,499.30399017333986
2,825,106496,4,3.159046173095703e-06,-2.3666210472583772e-05,0.1,0.0,-1.6059509992599488,5.461916e-06,-113.77976186275482,112.59370422363281,255,0.00010727272727272728,457.9392379760742
3,656,108544,9,2.9206275939941406e-06,-9.392374195158482e-05,0.1,0.0,-1.605971884727478,1.1307828e-05,-114.66497698426247,121.1542739868164,260,0.00010545454545454546,466.48954315185546
4,602,110592,13,2.9802322387695312e-06,3.552180714905262e-06,0.1,0.0,-1.6059390664100648,1.1704979e-06,-113.83423877716065,116.79727172851562,265,0.00010363636363636364,469.7289352416992
5,574,112640,17,2.682209014892578e-06,-6.711529567837715e-06,0.1,0.0,-1.6059303522109984,9.087671e-07,-114.22293628811836,115.96064758300781,270,0.00010181818181818183,469.83118743896483
1,2803,114688,0,3.7550926208496094e-06,-2.2691418416798113e-05,0.1,0.0,-1.6059363424777984,2.3569737e-06,-113.51915933609008,112.50801086425781,275,0.0001,446.8248229980469
2,835,116736,4,2.682209014892578e-06,-0.00015117271104827523,0.1,0.0,-1.6058389604091645,3.6012236e-05,-110.63816560506821,98.98800659179688,280,0.00010666666666666667,391.68980407714844
3,671,118784,9,3.933906555175781e-06,-0.0001522719976492226,0.1,0.0,-1.6056181728839873,5.078857e-05,-108.36785897970199,98.8562240600586,285,0.000105,405.0906097412109
4,618,120832,13,2.205371856689453e-06,-7.415912114083767e-05,0.1,0.0,-1.6054093420505524,2.1088112e-05,-106.38490722298621,95.8316650390625,290,0.00010333333333333334,396.2103775024414
5,586,122880,17,2.205371856689453e-06,-0.00022785747423768044,0.1,0.0,-1.605155634880066,3.7383434e-05,-106.44141662240028,99.48484802246094,295,0.00010166666666666668,401.6411499023437
1,2639,124928,0,1.4901161193847656e-06,-6.061412859708071e-05,0.1,0.0,-1.6043793261051178,1.2338365e-05,-105.87523458480835,95.27549743652344,300,0.0001,382.47025299072266
2,830,126976,4,1.9669532775878906e-06,-1.918249763548374e-05,0.1,0.0,-1.6044528901576995,3.7446152e-06,-103.40967094659806,86.9135513305664,305,0.00010615384615384615,343.63977203369143
3,673,129024,9,1.5497207641601562e-06,-3.130603581666946e-05,0.1,0.0,-1.604319339990616,3.3096876e-06,-101.08040400028229,87.64076232910156,310,0.00010461538461538461,337.82848052978517
4,614,131072,13,2.205371856689453e-06,-2.3812794825062156e-05,0.1,0.0,-1.6045027077198029,4.235015e-06,-99.43734582424163,87.7504653930664,315,0.00010307692307692309,346.5923538208008
5,584,133120,17,1.4901161193847656e-06,-9.936519199982286e-06,0.1,0.0,-1.6042926073074342,2.3070897e-06,-98.73738401651383,84.66353607177734,320,0.00010153846153846153,334.0644195556641
1,2871,135168,0,1.4901161193847656e-06,-0.00011744596995413303,0.1,0.0,-1.6045264422893524,3.0964526e-05,-98.9026622223854,82.23780059814453,325,0.0001,337.1121597290039
2,823,137216,4,1.3113021850585938e-06,-0.00019587224815040827,0.1,0.0,-1.6049645304679871,9.68106e-05,-96.76240638017654,74.49945068359375,330,0.00010571428571428572,297.76931915283205
3,673,139264,9,1.3709068298339844e-06,-0.0009516355814412237,0.1,0.0,-1.6054029703140258,0.00045626215,-94.86130164980888,76.38311767578125,335,0.00010428571428571428,295.7033447265625
