mean/gen/train/n_updates,mean/disc/disc_proportion_expert_true,mean/disc/disc_acc_expert,mean/gen/train/policy_gradient_loss,mean/gen/train/approx_kl,mean/gen/train/value_loss,mean/gen/time/total_timesteps,mean/gen/train/learning_rate,mean/disc/disc_acc,mean/gen/train/explained_variance,mean/gen/train/clip_fraction,mean/disc/disc_acc_gen,mean/gen/time/iterations,mean/disc/disc_proportion_expert_pred,mean/disc/n_generated,mean/disc/global_step,mean/gen/train/loss,mean/gen/train/clip_range,mean/disc/disc_loss,mean/gen/time/time_elapsed,mean/gen/train/entropy_loss,mean/gen/rollout/ep_rew_mean,mean/gen/time/fps,mean/gen/rollout/ep_len_mean,mean/disc/n_expert,mean/disc/disc_entropy,mean/gen/rollout/ep_rew_wrapped_mean
248.0,0.5,0.42578125,-0.0011291890914435498,0.0001542441314086318,200.47333651781082,15872.0,0.0001,0.6328125,0.0002353191375732422,0.0,0.83984375,1.0,0.29296875,256.0,31.0,85.3379135131836,0.2,0.6524590849876404,0.0,-1.3256291588768363,-531.0,2776.0,45.0,256.0,0.559059202671051,-76.46515719473362
256.0,0.5,0.50390625,-0.000811201683973195,9.285029955208302e-05,207.54831057786942,16384.0,0.0001,0.6875,0.00013196468353271484,0.0,0.87109375,1.0,0.31640625,256.0,32.0,80.41187286376953,0.2,0.580665111541748,0.0,-1.3217547135427594,-544.0,2829.0,45.0,256.0,0.548408567905426,-79.99277573168278
264.0,0.5,0.54296875,-0.001137741892307531,0.00015869271010160446,206.33419334888458,16896.0,0.0001,0.6953125,0.00010448694229125977,0.0,0.84765625,1.0,0.34765625,256.0,33.0,79.4190673828125,0.2,0.5921646356582642,0.0,-1.3415491906926036,-540.5,2728.0,45.0,256.0,0.5496254563331604,-83.5794937211275
272.0,0.5,0.546875,-0.0007189719763118774,4.6650413423776627e-05,193.17202085256577,17408.0,0.0001,0.68359375,-0.0002677440643310547,0.0,0.8203125,1.0,0.36328125,256.0,34.0,68.78593444824219,0.2,0.5967297554016113,0.0,-1.3324822532013059,-543.5,2684.0,45.0,256.0,0.5382411479949951,-86.26896038502454
280.0,0.5,0.61328125,-0.000987214589258656,0.00021861563436686993,196.74041724205017,17920.0,0.0001,0.720703125,-4.076957702636719e-05,0.0,0.828125,1.0,0.392578125,256.0,35.0,72.42991638183594,0.2,0.565736711025238,0.0,-1.317737651988864,-542.0,2835.0,45.0,256.0,0.5412832498550415,-88.3604877063632
288.0,0.5,0.578125,-0.0016384923073928803,0.0004238416440784931,206.22694742679596,18432.0,0.0001,0.74609375,0.00010800361633300781,0.0,0.9140625,1.0,0.33203125,256.0,36.0,98.14389038085938,0.2,0.540268063545227,0.0,-1.3096596421673894,-542.0,2824.0,45.0,256.0,0.5284503102302551,-90.36888468772173
296.0,0.5,0.58984375,-0.0036333837924757972,0.0008988910121843219,189.4427000284195,18944.0,0.0001,0.681640625,0.00011211633682250977,0.0,0.7734375,1.0,0.408203125,256.0,37.0,79.38032531738281,0.2,0.5668975114822388,0.0,-1.2998977908864617,-542.0,2702.0,45.0,256.0,0.533690333366394,-91.91452382206917
304.0,0.5,0.61328125,-0.0009627717299736105,0.0001668193144723773,176.49784570932388,19456.0,0.0001,0.689453125,-8.094310760498047e-05,0.0,0.765625,1.0,0.423828125,256.0,38.0,71.08561706542969,0.2,0.5637856125831604,0.0,-1.3087533758953214,-536.5,2663.0,45.0,256.0,0.5262660980224609,-93.25414812520147
312.0,0.5,0.65625,-0.004853338861721568,0.0017169013153761625,168.03722393512726,19968.0,0.0001,0.685546875,-6.115436553955078e-05,0.0,0.71484375,1.0,0.470703125,256.0,39.0,60.20754623413086,0.2,0.5837462544441223,0.0,-1.2809946648776531,-524.0,2857.0,45.0,256.0,0.5124780535697937,-94.0240810829401
320.0,0.5,0.62109375,-0.0040570379424025305,0.0010549299186095595,146.75390088558197,20480.0,0.0001,0.67578125,-0.00020253658294677734,0.0,0.73046875,1.0,0.4453125,256.0,40.0,58.149375915527344,0.2,0.6254032850265503,0.0,-1.2430603271350265,-544.0,2604.0,45.0,256.0,0.5064142346382141,-94.75007218522951
328.0,0.5,0.66796875,-0.004550750105408952,0.002069645095616579,154.83644759655,20992.0,0.0001,0.71875,-4.9114227294921875e-05,0.0,0.76953125,1.0,0.44921875,256.0,41.0,55.241336822509766,0.2,0.5544878244400024,0.0,-1.2208707183599472,-542.0,2580.0,45.0,256.0,0.5070516467094421,-94.6879221834056
336.0,0.5,0.6796875,-0.011767972959205508,0.006660006940364838,128.7180834710598,21504.0,0.0001,0.740234375,-4.6133995056152344e-05,0.0,0.80078125,1.0,0.439453125,256.0,42.0,24.449485778808594,0.2,0.5512878894805908,0.0,-1.1602687891572714,-540.5,2680.0,45.0,256.0,0.5084958076477051,-94.97560111522326
344.0,0.5,0.65234375,-0.005017498529923614,0.0030582547187805176,109.77904683351517,22016.0,0.0001,0.73046875,-4.112720489501953e-05,0.0,0.80859375,1.0,0.421875,256.0,43.0,31.10000228881836,0.2,0.5685836672782898,0.0,-1.0473663210868835,-556.0,2874.0,45.0,256.0,0.5030063986778259,-95.13113015590818
352.0,0.5,0.6796875,-0.015921614693070296,0.00882447324693203,86.72010090947151,22528.0,0.0001,0.73828125,-0.00010025501251220703,0.056396484375,0.796875,1.0,0.44140625,256.0,44.0,24.50395393371582,0.2,0.556782066822052,0.0,-0.9319879417307675,-549.5,2834.0,45.0,256.0,0.4907676577568054,-94.87427369236597
360.0,0.5,0.6875,-0.00836108399744262,0.005296581890434027,64.37223270535469,23040.0,0.0001,0.71484375,-0.00017178058624267578,0.02294921875,0.7421875,1.0,0.47265625,256.0,45.0,22.155792236328125,0.2,0.5950365662574768,0.0,-0.8458994603715837,-548.0,2606.0,45.0,256.0,0.5024423599243164,-93.9957662896032
368.0,0.5,0.6484375,-0.012635880215384532,0.003951991908252239,40.134621277451515,23552.0,0.0001,0.755859375,-0.0001748800277709961,0.04638671875,0.86328125,1.0,0.392578125,256.0,46.0,13.425989151000977,0.2,0.559322714805603,0.0,-0.769747348036617,-548.0,2786.0,45.0,256.0,0.49413418769836426,-92.3061230896681
376.0,0.5,0.71484375,-0.019280040622106753,0.005050611682236195,22.06560054793954,24064.0,0.0001,0.71875,-0.00025916099548339844,0.0712890625,0.72265625,1.0,0.49609375,256.0,47.0,11.845571517944336,0.2,0.5737565755844116,0.0,-0.7138391770422459,-548.0,2727.0,45.0,256.0,0.4940541088581085,-90.241029013925
384.0,0.5,0.65625,-0.019004799873073353,0.007694576401263475,14.970223151147366,24576.0,0.0001,0.75390625,-0.0002897977828979492,0.062255859375,0.8515625,1.0,0.40234375,256.0,48.0,6.50521993637085,0.2,0.5715858936309814,0.0,-0.612015264807269,-555.0,2269.0,45.0,256.0,0.4898006319999695,-88.00158877712558
392.0,0.5,0.65234375,-0.023124705359805375,0.00970152486115694,18.931591644883156,25088.0,0.0001,0.732421875,-0.00033283233642578125,0.1123046875,0.8125,1.0,0.419921875,256.0,49.0,5.286190032958984,0.2,0.5842069983482361,0.0,-0.5398596017621458,-547.0,2342.0,45.0,256.0,0.48293307423591614,-85.13746615590411
400.0,0.5,0.62109375,-0.01632234812132083,0.008195622824132442,6.287152264267206,25600.0,0.0001,0.744140625,-0.00023984909057617188,0.07275390625,0.8671875,1.0,0.376953125,256.0,50.0,2.318875789642334,0.2,0.5477908849716187,0.0,-0.4253109989222139,-547.0,2812.0,45.0,256.0,0.48988163471221924,-81.35119100405952
408.0,0.5,0.640625,-0.02280295911623398,0.006012010853737593,5.093560505658388,26112.0,0.0001,0.744140625,-0.0002295970916748047,0.08544921875,0.84765625,1.0,0.396484375,256.0,51.0,2.6047849655151367,0.2,0.5367665886878967,0.0,-0.4001089073717594,-547.0,2715.0,45.0,256.0,0.48873263597488403,-77.68349450277863
