mean/gen/time/iterations,mean/gen/train/value_loss,mean/gen/train/n_updates,mean/disc/n_expert,mean/disc/disc_acc_gen,mean/disc/disc_acc,mean/disc/disc_entropy,mean/disc/global_step,mean/gen/train/explained_variance,mean/gen/train/policy_gradient_loss,mean/gen/time/total_timesteps,mean/gen/time/time_elapsed,mean/gen/train/clip_range,mean/gen/train/entropy_loss,mean/gen/rollout/ep_len_mean,mean/disc/disc_proportion_expert_true,mean/gen/time/fps,mean/disc/disc_loss,mean/gen/train/approx_kl,mean/gen/train/clip_fraction,mean/disc/n_generated,mean/disc/disc_acc_expert,mean/gen/train/loss,mean/gen/train/learning_rate,mean/disc/disc_proportion_expert_pred,mean/gen/rollout/ep_rew_mean,mean/gen/rollout/ep_rew_wrapped_mean
1.0,14.184481393545866,488.0,256.0,0.18359375,0.5078125,0.6110746264457703,61.0,0.05316781997680664,-0.0062134121981216595,31232.0,0.0,0.2,-0.7695150449872017,45.0,0.5,2549.0,0.7072728872299194,0.004131793975830078,0.017333984375,256.0,0.83203125,3.55830454826355,0.0001,0.82421875,-355.5,-45.16363265181833
1.0,9.158391688019037,496.0,256.0,0.08984375,0.48046875,0.6212336421012878,62.0,-0.11451661586761475,-0.007768952695187181,31744.0,0.0,0.2,-0.776237138081342,45.0,0.5,2796.0,0.6848974227905273,0.011625133454799652,0.0791015625,256.0,0.87109375,2.6767261028289795,0.0001,0.890625,-392.5,-39.28063293794636
1.0,5.6385569758713245,504.0,256.0,0.08984375,0.4921875,0.6271891593933105,63.0,-0.24168884754180908,-0.008142248869262403,32256.0,0.0,0.2,-0.7694708607159555,45.0,0.5,2612.0,0.6985085010528564,0.014280783012509346,0.03955078125,256.0,0.89453125,2.158898115158081,0.0001,0.90234375,-373.0,-32.544685319648124
1.0,3.7598853250965476,512.0,256.0,0.09765625,0.51171875,0.6148521304130554,64.0,-0.04054522514343262,-0.012621428882994223,32768.0,0.0,0.2,-0.7333300486207008,45.0,0.5,2613.0,0.642160952091217,0.016170253977179527,0.125,256.0,0.92578125,1.1108112335205078,0.0001,0.9140625,-390.0,-28.61654944597278
1.0,2.3833567379042506,520.0,256.0,0.59375,0.734375,0.6173884272575378,65.0,-0.10151851177215576,-0.012138556892750785,33280.0,0.0,0.2,-0.6802514102309942,45.0,0.5,2565.0,0.6214327216148376,0.015445631928741932,0.13134765625,256.0,0.875,0.8466731905937195,0.0001,0.640625,-397.0,-26.124929796920625
1.0,2.15427554724738,528.0,256.0,0.69921875,0.810546875,0.6109002232551575,66.0,0.2815929055213928,-0.01581995594096952,33792.0,0.0,0.2,-0.6225839648395777,45.0,0.5,2405.0,0.5568881034851074,0.012855369597673416,0.15478515625,256.0,0.921875,0.2508380115032196,0.0001,0.611328125,-411.0,-24.05916550378082
1.0,0.521942859981209,536.0,256.0,0.73046875,0.80859375,0.5502032041549683,67.0,-0.38831067085266113,-0.03714469791157171,34304.0,0.0,0.2,-0.39242466702125967,45.0,0.5,2753.0,0.5444313287734985,0.08011963963508606,0.2509765625,256.0,0.88671875,0.060420453548431396,0.0001,0.578125,-420.5,-23.358941339205487
1.0,0.8614583887392655,544.0,256.0,0.875,0.87109375,0.5530776381492615,68.0,0.213944673538208,-0.010219060375675326,34816.0,0.0,0.2,-0.30581409321166575,45.0,0.5,2648.0,0.43301457166671753,0.004065396264195442,0.056884765625,256.0,0.8671875,0.5527186989784241,0.0001,0.49609375,-431.0,-23.511424430393962
1.0,2.7873246809467673,552.0,256.0,0.8671875,0.880859375,0.5339634418487549,69.0,0.19255465269088745,-0.005015126931539271,35328.0,0.0,0.2,-0.2547005150699988,45.0,0.5,2767.0,0.41301801800727844,0.0009933860274031758,0.015625,256.0,0.89453125,1.1455103158950806,0.0001,0.513671875,-435.5,-24.960112321781345
1.0,6.3696754444390535,560.0,256.0,0.91796875,0.91015625,0.5325064659118652,70.0,0.08876579999923706,-0.0016880759794730693,35840.0,0.0,0.2,-0.2526409192942083,45.0,0.5,2927.0,0.3713546097278595,0.0008546385215595365,0.02490234375,256.0,0.90234375,2.8490688800811768,0.0001,0.4921875,-435.5,-27.559452794766404
1.0,13.542054396122694,568.0,256.0,0.8828125,0.888671875,0.5081233382225037,71.0,0.13510358333587646,-0.0026966537079715636,36352.0,0.0,0.2,-0.2585733236046508,45.0,0.5,2722.0,0.3429172933101654,0.002021303866058588,0.025146484375,256.0,0.89453125,4.110159397125244,0.0001,0.505859375,-433.5,-31.665000350414193
1.0,28.554461903870106,576.0,256.0,0.8671875,0.90625,0.5017622709274292,72.0,0.20284485816955566,-0.0008785574609646574,36864.0,0.0,0.2,-0.2514720447361469,45.0,0.5,2739.0,0.3373619318008423,0.0007400190224871039,0.00146484375,256.0,0.9453125,9.267619132995605,0.0001,0.5390625,-411.0,-36.448564723499004
1.0,38.126963913440704,584.0,256.0,0.8671875,0.90625,0.45125269889831543,73.0,0.04868060350418091,-0.002157690512831323,37376.0,0.0,0.2,-0.2014378283638507,45.0,0.5,2882.0,0.29419904947280884,0.0014526655431836843,0.012939453125,256.0,0.9453125,11.431999206542969,0.0001,0.5390625,-443.5,-42.64111000063771
