raw/gen/rollout/ep_rew_mean,raw/gen/time/fps,raw/gen/time/total_timesteps,raw/gen/rollout/ep_len_mean,raw/gen/time/time_elapsed,raw/gen/time/iterations,raw/gen/train/learning_rate,raw/gen/train/entropy_loss,raw/gen/train/loss,raw/gen/train/approx_kl,raw/gen/train/n_updates,raw/gen/train/policy_gradient_loss,raw/gen/train/clip_range,raw/gen/train/value_loss,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/explained_variance,raw/gen/train/clip_fraction
-407.5,2188,58368,45.0,0,1,0.0001,-0.5095650409348309,7.542228698730469,0.004930888,904,-0.01548469719273271,0.2,29.03105416893959,-56.01656911195954,0.5775227248668671,0.053955078125
-390.5,2427,58880,45.0,0,1,0.0001,-0.38699888880364597,4.835816383361816,0.00404529,912,-0.006495712605101289,0.2,13.405147030949593,-53.470423368231856,0.7078301012516022,0.02197265625
-392.0,2339,59392,45.0,0,1,0.0001,-0.40442438144236803,4.7230143547058105,0.0036092235,920,-0.006073062053474132,0.2,32.51769784092903,-52.308842453144024,0.5242951810359955,0.02099609375
-394.5,2639,59904,45.0,0,1,0.0001,-0.4377030173782259,9.198543548583984,0.0023648734,928,-0.004642362264348776,0.2,24.804985895752907,-51.21341021927772,0.7338517904281616,0.00830078125
-401.0,1862,60416,45.0,0,1,0.0001,-0.38248054403811693,3.483942985534668,0.0027498314,936,-0.007644139703188557,0.2,16.84803774394095,-48.44388592527947,0.6686860024929047,0.022705078125
-373.5,1572,60928,45.0,0,1,0.0001,-0.4374267973471433,6.18062162399292,0.006048468,944,-0.012983932079805527,0.2,16.229142121970654,-47.69941878065234,0.5475827753543854,0.03662109375
-393.0,2356,61440,45.0,0,1,0.0001,-0.5312344064004719,2.610041856765747,0.008495474,952,-0.013013998759561218,0.2,8.56489681918174,-45.56139548932901,0.6117113828659058,0.06982421875
-424.5,2343,61952,45.0,0,1,0.0001,-0.4972136430442333,1.2619765996932983,0.011975691,960,-0.015254223937517963,0.2,7.998623664490879,-42.202697732988746,-0.2391730546951294,0.08056640625
-434.5,2685,62464,45.0,0,1,0.0001,-0.5474821894895285,0.11513993889093399,0.009164794,968,-0.021446977989398874,0.2,1.5571760152233765,-40.73590804548934,0.5975185334682465,0.085693359375
-444.0,2906,62976,45.0,0,1,0.0001,-0.5537899814080447,0.24501937627792358,0.00981721,976,-0.014183318759023678,0.2,0.7954860847094096,-39.3573018896766,0.720104306936264,0.1357421875
-450.5,2809,63488,45.0,0,1,0.0001,-0.5642487327568233,0.20900601148605347,0.0060298103,984,-0.013473067061568145,0.2,0.7857389939017594,-39.4630160609819,0.6193957924842834,0.09326171875
-469.5,2738,64000,45.0,0,1,0.0001,-0.6049946956336498,0.5386290550231934,0.016064864,992,-0.015740910959721077,0.2,1.5443481244146824,-40.0760833256878,0.22464388608932495,0.150390625
-464.0,2634,64512,45.0,0,1,0.0001,-0.627755387686193,0.9495089054107666,0.016068013,1000,-0.014502147838356905,0.2,1.914058258291334,-41.34779711569659,0.07522737979888916,0.125732421875
-458.5,2791,65024,45.0,0,1,0.0001,-0.6665592161007226,1.0058118104934692,0.007637355,1008,-0.010542791453190148,0.2,2.7752378173172474,-43.3091727149114,-0.04805624485015869,0.133056640625
-464.0,2508,65536,45.0,0,1,0.0001,-0.6333376034162939,0.8738534450531006,0.007553238,1016,-0.008908771371352486,0.2,3.3747898722067475,-44.897029330367225,0.16208648681640625,0.1103515625
-492.0,2656,66048,45.0,0,1,0.0001,-0.6581405671313405,1.177559733390808,0.0100355465,1024,-0.008653193141071824,0.2,5.349601527675986,-46.183196392869576,0.15177440643310547,0.075927734375
-475.5,2306,66560,45.0,0,1,0.0001,-0.675119889434427,2.0723447799682617,0.017794494,1032,-0.014484355269814841,0.2,7.639001170173287,-48.8589236392593,0.36127227544784546,0.16357421875
