mean/disc/n_expert,mean/disc/disc_proportion_expert_pred,mean/gen/train/approx_kl,mean/gen/time/fps,mean/gen/train/n_updates,mean/disc/disc_proportion_expert_true,mean/gen/train/policy_gradient_loss,mean/disc/disc_acc_expert,mean/disc/disc_entropy,mean/gen/time/time_elapsed,mean/gen/train/explained_variance,mean/gen/time/iterations,mean/gen/time/total_timesteps,mean/gen/train/learning_rate,mean/disc/global_step,mean/gen/train/clip_range,mean/gen/train/value_loss,mean/disc/n_generated,mean/gen/train/clip_fraction,mean/disc/disc_acc,mean/gen/train/entropy_loss,mean/gen/rollout/ep_rew_mean,mean/gen/rollout/ep_len_mean,mean/disc/disc_acc_gen,mean/gen/train/loss,mean/disc/disc_loss,mean/gen/rollout/ep_rew_wrapped_mean
256.0,0.59375,0.0049640340730547905,2880.0,424.0,0.5,-0.013947232517239172,0.96484375,0.5050390958786011,0.0,0.3741862177848816,1.0,27136.0,0.0001,53.0,0.2,1.0094277213793248,256.0,0.049072265625,0.87109375,-0.4967963993549347,-447.5,45.0,0.77734375,0.1741628646850586,0.5704318284988403,-14.438233304526657
256.0,0.58984375,0.0061113266274333,2893.0,432.0,0.5,-0.008400320657528937,0.96875,0.5038858652114868,0.0,0.1795872449874878,1.0,27648.0,0.0001,54.0,0.2,1.0360164451412857,256.0,0.024169921875,0.87890625,-0.47821047017350793,-443.5,45.0,0.7890625,0.310255229473114,0.5579703450202942,-15.009106662478297
256.0,0.58984375,0.005451161414384842,2942.0,440.0,0.5,-0.010858706169528887,0.96875,0.5142123699188232,0.0,0.3835141658782959,1.0,28160.0,0.0001,55.0,0.2,1.018308590631932,256.0,0.03369140625,0.87890625,-0.4704043981619179,-449.0,45.0,0.7890625,0.1791621446609497,0.5485556125640869,-15.61136472654529
256.0,0.63671875,0.004765263292938471,2659.0,448.0,0.5,-0.009647860286349896,0.96484375,0.5267097353935242,0.0,0.4130438566207886,1.0,28672.0,0.0001,56.0,0.2,1.3533607576973736,256.0,0.027587890625,0.828125,-0.5021612925920635,-423.0,45.0,0.69140625,0.5642114877700806,0.6243746280670166,-16.30341425119899
256.0,0.623046875,0.004341978579759598,2670.0,456.0,0.5,-0.007756258106383029,0.9921875,0.5171797275543213,0.0,0.4989358186721802,1.0,29184.0,0.0001,57.0,0.2,1.658642957219854,256.0,0.019287109375,0.869140625,-0.5187507236842066,-409.5,45.0,0.74609375,0.42154374718666077,0.529431939125061,-16.89460665495135
256.0,0.6640625,0.00471099466085434,2398.0,464.0,0.5,-0.014477596436336171,0.96875,0.5047779083251953,0.0,0.4850153923034668,1.0,29696.0,0.0001,58.0,0.2,2.0845834214705974,256.0,0.03369140625,0.8046875,-0.5667681167833507,-349.0,45.0,0.640625,0.4952370524406433,0.5576739311218262,-17.551624347483738
256.0,0.69140625,0.004328753333538771,2408.0,472.0,0.5,-0.015210979079711251,0.984375,0.51268470287323,0.0,0.5396990776062012,1.0,30208.0,0.0001,59.0,0.2,3.327489144168794,256.0,0.03271484375,0.79296875,-0.6375331184826791,-286.0,45.0,0.6015625,1.1734745502471924,0.6068339943885803,-18.057041820995508
256.0,0.646484375,0.008789638988673687,1931.0,480.0,0.5,-0.012934162390592974,0.9609375,0.49540430307388306,0.0,0.11308211088180542,1.0,30720.0,0.0001,60.0,0.2,2.317322203889489,256.0,0.045166015625,0.814453125,-0.5861310232430696,-290.5,45.0,0.66796875,0.4605194330215454,0.5527701377868652,-18.425405287304894
256.0,0.673828125,0.004469785373657942,2587.0,488.0,0.5,-0.013466084616084117,0.9921875,0.5119285583496094,0.0,0.33443760871887207,1.0,31232.0,0.0001,61.0,0.2,2.1543295988813043,256.0,0.0390625,0.818359375,-0.6927646594122052,-285.5,45.0,0.64453125,0.31028005480766296,0.60994553565979,-19.24221278280951
256.0,0.685546875,0.009791530668735504,2385.0,496.0,0.5,-0.01761395589710446,0.97265625,0.5203592777252197,0.0,0.628943145275116,1.0,31744.0,0.0001,62.0,0.2,2.1613543960265815,256.0,0.0615234375,0.787109375,-0.7669982705265284,-286.0,45.0,0.6015625,0.6940183639526367,0.6062373518943787,-19.937754873810334
